,Game,Free2Play,MOBA,Shooter,RPG,Strategy,Survival,Adventure,Turn-Based,MMO,Looter,Indie,PvP,PvE,Singleplayer,Multiplayer,Sandbox
0,Dota 2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,Team Fortress 2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,Counter-Strike Global Offensive,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3,Unturned,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0
4,Left 4 Dead 2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
5,Counter-Strike Source,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
6,Counter-Strike,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
7,Garry's Mod,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
8,The Elder Scrolls V Skyrim,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
9,Warframe,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0
10,Half-Life 2 Lost Coast,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
11,Sid Meier's Civilization V,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
12,Robocraft,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Half-Life 2 Deathmatch,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
14,Portal,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
15,Portal 2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
16,Half-Life 2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
17,Heroes & Generals,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
18,Terraria,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
19,Counter-Strike Condition Zero,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
20,War Thunder,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0
21,PAYDAY 2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
22,Borderlands 2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
23,Counter-Strike Condition Zero Deleted Scenes,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
24,No More Room in Hell,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
25,Call of Duty Modern Warfare 2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
26,Trove,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1
27,Call of Duty Modern Warfare 2 - Multiplayer,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
28,Day of Defeat,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
29,Fallout New Vegas,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0
30,PlanetSide 2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
31,Counter-Strike Nexon Zombies,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
32,Alien Swarm,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
33,Day of Defeat Source,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
34,Deathmatch Classic,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
35,Ricochet,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
36,Half-Life 2 Episode One,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
37,Grand Theft Auto V,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1
38,Loadout,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
39,Path of Exile,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0
40,Nosgoth,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
41,Dirty Bomb,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
42,BioShock Infinite,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
43,Grand Theft Auto IV,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
44,Half-Life 2 Episode Two,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
45,Half-Life,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
46,Warface,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0
47,DayZ,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0
48,Metro 2033,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
49,Left 4 Dead,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0
50,Call of Duty Black Ops,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
51,Dead Island Epidemic,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0
52,PAYDAY The Heist,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
53,Empire Total War,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
54,Grand Theft Auto San Andreas,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1
55,Tomb Raider,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
56,Saints Row The Third,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1
57,Call of Duty Black Ops - Multiplayer,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
58,Call of Duty Modern Warfare 3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
59,Tom Clancy's Ghost Recon Phantoms - NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
60,Arma 2 Operation Arrowhead,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0
61,Age of Empires II HD Edition,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
62,Call of Duty Modern Warfare 3 - Multiplayer,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
63,Magicka,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
